Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,36,16,P:System.Windows.Controls.ContentControl.Content,,,,,"this.OneWayBind(ViewModel, vm => vm.ValueLabel, v => v.valueLabel.Content).DisposeWith(d);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,26,8,M:System.Windows.Window.#ctor,,,,,"public MainWindow()          {              InitializeComponent();                this.ViewModel = new MainViewModel();                this.WhenActivated(d =>              {                  this.OneWayBind(ViewModel, vm => vm.ListViewModel, v => v.nodeList.ViewModel).DisposeWith(d);                  this.OneWayBind(ViewModel, vm => vm.NetworkViewModel, v => v.viewHost.ViewModel).DisposeWith(d);                  this.OneWayBind(ViewModel, vm => vm.ValueLabel, v => v.valueLabel.Content).DisposeWith(d);              });          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,16,28,T:System.Windows.DependencyProperty,,,,,ViewModelProperty
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,16,19,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(ViewModelProperty, value)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,15,43,T:System.Windows.DependencyProperty,,,,,ViewModelProperty
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,15,34,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,GetValue(ViewModelProperty)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,10,50,T:System.Windows.DependencyProperty,,,,,"ViewModelProperty = DependencyProperty.Register(nameof(ViewModel),              typeof(MainViewModel), typeof(MainWindow), new PropertyMetadata(null))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,36,16,T:System.Windows.Controls.Label,,,,,"this.OneWayBind(ViewModel, vm => vm.ValueLabel, v => v.valueLabel.Content).DisposeWith(d);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,36,16,P:System.Windows.Controls.ContentControl.Content,,,,,"this.OneWayBind(ViewModel, vm => vm.ValueLabel, v => v.valueLabel.Content).DisposeWith(d);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,26,8,M:System.Windows.Window.#ctor,,,,,"public MainWindow()          {              InitializeComponent();                this.ViewModel = new MainViewModel();                this.WhenActivated(d =>              {                  this.OneWayBind(ViewModel, vm => vm.ListViewModel, v => v.nodeList.ViewModel).DisposeWith(d);                  this.OneWayBind(ViewModel, vm => vm.NetworkViewModel, v => v.viewHost.ViewModel).DisposeWith(d);                  this.OneWayBind(ViewModel, vm => vm.ValueLabel, v => v.valueLabel.Content).DisposeWith(d);              });          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\MainWindow.g.i.cs,44,83,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\MainWindow.xaml.cs,7,38,T:System.Windows.Window,,,,,Window
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\IntegerValueEditorView.g.i.cs,83,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\IntegerValueEditorView.g.i.cs,83,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\IntegerValueEditorView.g.i.cs,80,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/ExampleCalculatorApp;component/views/integervalueeditorview.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\IntegerValueEditorView.g.i.cs,80,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/ExampleCalculatorApp;component/views/integervalueeditorview.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,"public IntegerValueEditorView()          {              InitializeComponent();                this.WhenActivated(d => d(                  this.Bind(ViewModel, vm => vm.Value, v => v.valueUpDown.Value)              ));          }"
